112.215.173.119 - - "2018-03-25 00:14:06" http://promotionalcommunications.org/index.php/pc/article/download/95/109 200 "Mozilla/5.0 (Windows NT 5.1; rv:51.0) Gecko/20100101 Firefox/51.0"
157.55.39.78 bot - "2018-03-25 00:15:56" http://promotionalcommunications.org/index.php/pc/article/download/13/13 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.65.156 bot - "2018-03-25 00:19:07" http://promotionalcommunications.org/index.php/pc/article/download/65/78 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.219 bot - "2018-03-25 00:29:07" http://promotionalcommunications.org/index.php/pc/article/download/65/78 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.153 bot - "2018-03-25 00:30:25" http://promotionalcommunications.org/index.php/pc/article/download/99/114 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.156 bot - "2018-03-25 00:31:27" http://promotionalcommunications.org/index.php/pc/article/view/55 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
103.41.97.228 - - "2018-03-25 00:34:56" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
103.41.97.228 - - "2018-03-25 00:35:02" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
103.41.97.228 - - "2018-03-25 00:35:04" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
66.249.65.219 bot - "2018-03-25 00:47:01" http://promotionalcommunications.org/index.php/pc/article/view/92 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.219 bot - "2018-03-25 00:49:55" http://promotionalcommunications.org/index.php/pc/article/download/51/61 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.155 bot - "2018-03-25 00:49:59" http://promotionalcommunications.org/index.php/pc/article/view/63 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.153 bot - "2018-03-25 00:54:12" http://promotionalcommunications.org/index.php/pc/article/view/13 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
111.68.106.98 - - "2018-03-25 00:58:49" http://promotionalcommunications.org/index.php/pc/article/view/116 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
66.249.65.219 bot - "2018-03-25 00:59:08" http://promotionalcommunications.org/index.php/pc/article/download/51/61 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
77.75.79.72 bot - "2018-03-25 01:13:28" http://promotionalcommunications.org/index.php/pc/article/view/75 200 "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
77.75.79.72 bot - "2018-03-25 01:13:31" http://promotionalcommunications.org/index.php/pc/article/view/78 200 "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
66.249.65.153 bot - "2018-03-25 01:26:50" http://promotionalcommunications.org/index.php/pc/article/view/24 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
123.125.67.162 - - "2018-03-25 01:27:43" http://promotionalcommunications.org/index.php/pc/article/download/113/121 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36"
65.19.189.172 - - "2018-03-25 01:30:21" http://promotionalcommunications.org/index.php/pc/article/view/99 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
65.19.189.172 - - "2018-03-25 01:34:01" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
45.116.232.41 - - "2018-03-25 01:38:00" http://promotionalcommunications.org/index.php/pc/article/view/68 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
66.249.65.156 bot - "2018-03-25 01:43:20" http://promotionalcommunications.org/index.php/pc/article/download/89/103 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
84.91.128.57 - - "2018-03-25 01:58:05" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
84.91.128.57 - - "2018-03-25 01:58:06" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
66.249.65.153 bot - "2018-03-25 02:05:28" http://promotionalcommunications.org/index.php/pc/article/view/96 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
116.84.110.36 - - "2018-03-25 02:06:27" http://promotionalcommunications.org/index.php/pc/article/download/111/119 200 "Mozilla/5.0 (iPad; CPU OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0 Mobile/15D100 Safari/604.1"
116.84.110.36 - - "2018-03-25 02:06:38" http://promotionalcommunications.org/index.php/pc/index 200 "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0"
116.84.110.36 - - "2018-03-25 02:06:39" http://promotionalcommunications.org/index.php/pc/index 200 "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0"
116.84.110.36 - - "2018-03-25 02:06:40" http://promotionalcommunications.org/index.php/pc/index 200 "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0"
116.84.110.36 - - "2018-03-25 02:06:41" http://promotionalcommunications.org/index.php/pc/index 200 "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0"
66.249.65.155 bot - "2018-03-25 02:19:22" http://promotionalcommunications.org/index.php/pc/article/download/91/105 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.219 bot - "2018-03-25 02:20:17" http://promotionalcommunications.org/index.php/pc/article/view/32 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
