180.76.15.16 bot - "2018-04-20 00:02:28" http://promotionalcommunications.org/index.php/pc/article/view/51 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.65.118 bot - "2018-04-20 00:06:24" http://promotionalcommunications.org/index.php/pc/article/view/83 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.113 bot - "2018-04-20 00:08:23" http://promotionalcommunications.org/index.php/pc/article/download/83/94 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.113 bot - "2018-04-20 00:08:51" http://promotionalcommunications.org/index.php/pc/article/view/82 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.120 bot - "2018-04-20 00:09:05" http://promotionalcommunications.org/index.php/pc/article/download/45/60 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.111 bot - "2018-04-20 00:10:43" http://promotionalcommunications.org/index.php/pc/article/view/82 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
157.55.39.143 bot - "2018-04-20 00:22:59" http://promotionalcommunications.org/index.php/pc/article/view/64 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
125.209.235.174 bot - "2018-04-20 00:24:58" http://promotionalcommunications.org/index.php/pc/article/download/85/108 200 "Mozilla/5.0 (compatible; Yeti/1.1; +http://naver.me/spd)"
66.249.65.115 bot - "2018-04-20 00:28:51" http://promotionalcommunications.org/index.php/pc/article/download/40/56 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
130.88.114.29 - - "2018-04-20 00:29:06" http://promotionalcommunications.org/index.php/pc/article/view/95 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
66.249.65.120 bot - "2018-04-20 00:29:52" http://promotionalcommunications.org/index.php/pc/article/view/23 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.113 bot - "2018-04-20 00:32:44" http://promotionalcommunications.org/index.php/pc/article/view/101 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
52.36.204.2 - - "2018-04-20 00:33:21" http://promotionalcommunications.org/index.php/pc/article/download/95/109 200 "Mozilla/5.0 (Windows NT 5.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0"
130.88.114.29 - - "2018-04-20 00:33:30" http://promotionalcommunications.org/index.php/pc/article/view/95 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
66.249.65.118 bot - "2018-04-20 00:37:30" http://promotionalcommunications.org/index.php/pc/article/download/43/59 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.120 bot - "2018-04-20 00:38:22" http://promotionalcommunications.org/index.php/pc/article/view/89 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.116 bot - "2018-04-20 00:39:53" http://promotionalcommunications.org/index.php/pc/article/download/96/110 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.113 bot - "2018-04-20 00:41:27" http://promotionalcommunications.org/index.php/pc/article/download/89/103 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.113 bot - "2018-04-20 00:42:22" http://promotionalcommunications.org/index.php/pc/article/download/95/109 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.115 bot - "2018-04-20 00:42:23" http://promotionalcommunications.org/index.php/pc/article/view/55 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
207.46.13.149 bot - "2018-04-20 00:43:54" http://promotionalcommunications.org/index.php/pc/article/download/95/109 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.65.118 bot - "2018-04-20 00:44:00" http://promotionalcommunications.org/index.php/pc/article/download/65/78 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.115 bot - "2018-04-20 00:45:11" http://promotionalcommunications.org/index.php/pc/article/view/90 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.116 bot - "2018-04-20 00:46:23" http://promotionalcommunications.org/index.php/pc/article/download/41/55 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.111 bot - "2018-04-20 00:46:44" http://promotionalcommunications.org/index.php/pc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.111 bot - "2018-04-20 00:46:58" http://promotionalcommunications.org/index.php/pc/article/view/84 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.120 bot - "2018-04-20 00:49:24" http://promotionalcommunications.org/index.php/pc/article/view/15 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.118 bot - "2018-04-20 00:49:31" http://promotionalcommunications.org/index.php/pc/article/download/55/64 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.116 bot - "2018-04-20 00:49:36" http://promotionalcommunications.org/index.php/pc/article/view/85 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.115 bot - "2018-04-20 00:50:06" http://promotionalcommunications.org/index.php/pc/article/view/91 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
175.144.197.201 - - "2018-04-20 00:53:14" http://promotionalcommunications.org/index.php/pc/article/view/84 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.62 Safari/537.36"
66.249.65.120 bot - "2018-04-20 00:54:01" http://promotionalcommunications.org/index.php/pc/article/view/87 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.118 bot - "2018-04-20 00:54:51" http://promotionalcommunications.org/index.php/pc/article/view/39 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.111 bot - "2018-04-20 00:55:48" http://promotionalcommunications.org/index.php/pc/article/view/86 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.116 bot - "2018-04-20 00:56:49" http://promotionalcommunications.org/index.php/pc/article/view/66 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.120 bot - "2018-04-20 00:56:50" http://promotionalcommunications.org/index.php/pc/article/download/38/43 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.120 bot - "2018-04-20 00:57:33" http://promotionalcommunications.org/index.php/pc/article/view/101 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.111 bot - "2018-04-20 00:57:52" http://promotionalcommunications.org/index.php/pc/article/download/61/75 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.116 bot - "2018-04-20 00:59:50" http://promotionalcommunications.org/index.php/pc/article/download/91/105 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
77.178.7.60 - - "2018-04-20 01:00:12" http://promotionalcommunications.org/index.php/pc/article/download/42/52 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1 Safari/605.1.15"
192.99.175.124 - - "2018-04-20 01:02:56" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:0.9.3) Gecko/20010801"
52.36.204.2 - - "2018-04-20 01:07:06" http://promotionalcommunications.org/index.php/pc/article/download/55/64 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30"
137.189.173.196 - - "2018-04-20 01:12:01" http://promotionalcommunications.org/index.php/pc/article/view/42 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
197.211.61.57 - - "2018-04-20 01:13:48" http://promotionalcommunications.org/index.php/pc/article/download/91/105 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
137.189.173.196 - - "2018-04-20 01:15:46" http://promotionalcommunications.org/index.php/pc/article/download/42/52 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
103.251.56.189 - - "2018-04-20 01:28:05" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
103.251.56.189 - - "2018-04-20 01:28:07" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
88.198.43.207 - - "2018-04-20 01:54:56" http://promotionalcommunications.org/index.php/pc/article/download/48/62 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
5.9.112.6 - - "2018-04-20 01:54:56" http://promotionalcommunications.org/index.php/pc/article/download/48/62 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
52.11.227.206 - - "2018-04-20 02:20:02" http://promotionalcommunications.org/index.php/pc/article/download/95/109 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:49.0) Gecko/20100101 Firefox/49.0"
77.88.47.18 bot - "2018-04-20 02:26:09" http://promotionalcommunications.org/index.php/pc/article/view/99 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
134.7.248.196 - - "2018-04-20 02:27:39" http://promotionalcommunications.org/index.php/pc/article/download/64/81 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
134.7.248.196 - - "2018-04-20 02:27:40" http://promotionalcommunications.org/index.php/pc/article/view/64 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
134.7.248.196 - - "2018-04-20 02:28:15" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
