88.198.90.9 - - "2018-06-14 00:02:13" http://promotionalcommunications.org/index.php/pc/article/download/40/56 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3"
42.117.31.86 - - "2018-06-14 00:03:58" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
66.249.69.51 bot - "2018-06-14 00:04:02" http://promotionalcommunications.org/index.php/pc/article/view/20 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
42.117.31.86 - - "2018-06-14 00:04:04" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
51.15.147.154 - - "2018-06-14 00:06:21" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
141.8.142.27 bot - "2018-06-14 00:08:14" http://promotionalcommunications.org/index.php/pc/article/download/42/52 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B411 Safari/600.1.4 (compatible; YandexMobileBot/3.0; +http://yandex.com/bots)"
207.46.13.9 bot - "2018-06-14 00:12:03" http://promotionalcommunications.org/index.php/pc/article/download/23/18 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
136.243.67.234 - - "2018-06-14 00:16:24" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0"
66.249.69.47 bot - "2018-06-14 00:16:54" http://promotionalcommunications.org/index.php/pc/article/view/46 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.51 bot - "2018-06-14 00:18:01" http://promotionalcommunications.org/index.php/pc/article/view/93 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.47 bot - "2018-06-14 00:18:16" http://promotionalcommunications.org/index.php/pc/article/view/99 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
180.76.15.31 bot - "2018-06-14 00:25:54" http://promotionalcommunications.org/index.php/pc/article/view/44 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
113.22.217.220 - - "2018-06-14 00:30:39" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
113.22.217.220 - - "2018-06-14 00:30:41" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
66.249.69.47 bot - "2018-06-14 00:30:59" http://promotionalcommunications.org/index.php/pc/article/download/102/126 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.49 bot - "2018-06-14 00:31:12" http://promotionalcommunications.org/index.php/pc/article/download/44/57 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.49 bot - "2018-06-14 00:33:44" http://promotionalcommunications.org/index.php/pc/article/view/109 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.47 bot - "2018-06-14 00:33:53" http://promotionalcommunications.org/index.php/pc/article/view/74 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.51 bot - "2018-06-14 00:39:21" http://promotionalcommunications.org/index.php/pc/article/view/95 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.69.47 bot - "2018-06-14 00:46:53" http://promotionalcommunications.org/index.php/pc/article/view/73 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.47 bot - "2018-06-14 00:49:13" http://promotionalcommunications.org/index.php/pc/article/download/27/58 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.49 bot - "2018-06-14 00:49:34" http://promotionalcommunications.org/index.php/pc/article/download/118/132 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.152 bot - "2018-06-14 00:51:15" http://promotionalcommunications.org/index.php/pc/issue/view/17 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
99.199.80.58 - - "2018-06-14 00:51:23" http://promotionalcommunications.org/index.php/pc/article/view/93 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/605.1.15 (KHTML, like Gecko)"
99.199.80.58 - - "2018-06-14 00:51:24" http://promotionalcommunications.org/index.php/pc/index 200 "Safari/13605.1.33.1.4 CFNetwork/897.15 Darwin/17.5.0 (x86_64)"
99.199.80.58 - - "2018-06-14 00:51:25" http://promotionalcommunications.org/index.php/pc/index 200 "Safari/13605.1.33.1.4 CFNetwork/897.15 Darwin/17.5.0 (x86_64)"
99.199.80.58 - - "2018-06-14 00:51:25" http://promotionalcommunications.org/index.php/pc/article/view/93 200 ""Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1""
99.199.80.58 - - "2018-06-14 00:51:26" http://promotionalcommunications.org/index.php/pc/index 200 "Safari/13605.1.33.1.4 CFNetwork/897.15 Darwin/17.5.0 (x86_64)"
99.199.80.58 - - "2018-06-14 00:51:27" http://promotionalcommunications.org/index.php/pc/index 200 "Safari/13605.1.33.1.4 CFNetwork/897.15 Darwin/17.5.0 (x86_64)"
66.249.69.49 bot - "2018-06-14 00:55:08" http://promotionalcommunications.org/index.php/pc/issue/view/17 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.154 bot - "2018-06-14 00:55:36" http://promotionalcommunications.org/index.php/pc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
212.129.3.60 - - "2018-06-14 00:56:00" http://promotionalcommunications.org/index.php/pc/article/view/120 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36 OPR/49.0.2725.64"
66.249.69.51 bot - "2018-06-14 00:56:28" http://promotionalcommunications.org/index.php/pc/article/view/39 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.47 bot - "2018-06-14 00:57:28" http://promotionalcommunications.org/index.php/pc/article/download/65/78 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.49 bot - "2018-06-14 00:58:01" http://promotionalcommunications.org/index.php/pc/article/view/85 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.47 bot - "2018-06-14 00:58:16" http://promotionalcommunications.org/index.php/pc/article/download/117/133 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.152 bot - "2018-06-14 00:58:57" http://promotionalcommunications.org/index.php/pc/article/view/15 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.152 bot - "2018-06-14 01:02:33" http://promotionalcommunications.org/index.php/pc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.154 bot - "2018-06-14 01:04:29" http://promotionalcommunications.org/index.php/pc/article/view/120 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.49 bot - "2018-06-14 01:05:04" http://promotionalcommunications.org/index.php/pc/article/view/112 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.156 bot - "2018-06-14 01:05:41" http://promotionalcommunications.org/index.php/pc/article/download/84/95 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.154 bot - "2018-06-14 01:07:34" http://promotionalcommunications.org/index.php/pc/article/download/120/130 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.51 bot - "2018-06-14 01:08:35" http://promotionalcommunications.org/index.php/pc/article/download/99/114 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.156 bot - "2018-06-14 01:10:02" http://promotionalcommunications.org/index.php/pc/article/view/85 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.51 bot - "2018-06-14 01:10:03" http://promotionalcommunications.org/index.php/pc/article/download/27/58 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.152 bot - "2018-06-14 01:10:36" http://promotionalcommunications.org/index.php/pc/article/download/109/118 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
137.56.81.134 - - "2018-06-14 01:14:27" http://promotionalcommunications.org/index.php/pc/article/view/95 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
137.56.81.134 - - "2018-06-14 01:14:35" http://promotionalcommunications.org/index.php/pc/article/download/95/109 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
66.249.69.49 bot - "2018-06-14 01:15:02" http://promotionalcommunications.org/index.php/pc/article/download/55/64 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.156 bot - "2018-06-14 01:18:20" http://promotionalcommunications.org/index.php/pc/article/view/119 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.47 bot - "2018-06-14 01:18:22" http://promotionalcommunications.org/index.php/pc/article/view/14 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.49 bot - "2018-06-14 01:18:28" http://promotionalcommunications.org/index.php/pc/article/download/88/101 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.154 bot - "2018-06-14 01:18:36" http://promotionalcommunications.org/index.php/pc/article/download/83/94 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.154 bot - "2018-06-14 01:20:27" http://promotionalcommunications.org/index.php/pc/article/download/105/131 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.47 bot - "2018-06-14 01:20:49" http://promotionalcommunications.org/index.php/pc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
220.181.108.172 bot - "2018-06-14 01:22:29" http://promotionalcommunications.org/index.php/pc/article/download/13/13 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
220.181.108.170 bot - "2018-06-14 01:22:35" http://promotionalcommunications.org/index.php/pc/article/download/13/13 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.75.156 bot - "2018-06-14 01:24:10" http://promotionalcommunications.org/index.php/pc/article/download/86/98 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.154 bot - "2018-06-14 01:26:34" http://promotionalcommunications.org/index.php/pc/article/view/101 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.152 bot - "2018-06-14 01:26:58" http://promotionalcommunications.org/index.php/pc/article/download/101/117 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.152 bot - "2018-06-14 01:28:03" http://promotionalcommunications.org/index.php/pc/article/download/90/104 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.47 bot - "2018-06-14 01:28:19" http://promotionalcommunications.org/index.php/pc/article/view/115 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.156 bot - "2018-06-14 01:30:09" http://promotionalcommunications.org/index.php/pc/article/download/23/18 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
81.102.141.199 - - "2018-06-14 01:44:03" http://promotionalcommunications.org/index.php/pc/article/view/42 200 ""
213.205.242.193 - - "2018-06-14 01:51:15" http://promotionalcommunications.org/index.php/pc/article/view/70 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:59.0) Gecko/20100101 Firefox/59.0"
213.22.198.188 - - "2018-06-14 02:27:21" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
213.22.198.188 - - "2018-06-14 02:27:33" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
194.66.75.23 - - "2018-06-14 02:36:51" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
94.103.231.235 - - "2018-06-14 02:54:02" http://promotionalcommunications.org/index.php/pc/article/view/72 200 "Mozilla/5.0 (Windows NT 5.1; rv:40.1) Gecko/20100101 Firefox/40.1"
194.66.75.23 - - "2018-06-14 02:54:38" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
194.66.75.23 - - "2018-06-14 02:54:40" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
194.66.75.23 - - "2018-06-14 02:54:46" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
